typo,orig,historique
AVENUE DE VERSAILLES,Point de départ de la route de Versailles.,Précédemment route de Versailles ou de la Reine ; partie de la route nationale n° 10.
RUE DU PETIT PONT,Aboutit au Petit Pont.,"L'une des plus anciennes voies de Paris ; elle a été dénommée rue Neuve, en 1230, et a souvent été confondue avec la rue Saint-Jacques qui lui fait suite."
ROUTE DES LACS A PASSY,,Située autrefois sur le territoire de Boulogne-Billancourt annexé à Paris par décret du 3 avril 1925.
RUE EMILE LEPEU,"M. Emile Lepeu, fils de l'ancien propriétaire.",
RUE AUGUSTE BARTHOLDI,"Frédéric, Auguste Bartholdi (1834-1904), sculpteur français, auteur de la statue de la Liberté éclairant le monde, érigée à New York. Voisinage d'une réduction de ce monument élevé à l'aval du pont de Grenelle.",Ouverte sur les terrains des époux Piat.
RUE SAINT-CHRISTOPHE,Voisinage de l'église Saint-Christophe.,"Précédemment, rue Lemoult prolongée, et, plus anciennement, rue Léontine."
RUE DE QUATREFAGES,"Jean Louis Armand de Quatrefages de Bréau (1810-1892), naturaliste ; voisinage du Muséum d'histoire naturelle.","Précédemment rue du Battoir. Cette voie a été ouverte sur le territoire de Villeneuve Saint-René. Elle a été appelée rue Neuve Saint-René, rue Saint-René et, en 1603, rue du Battoir."
RUE DE NARBONNE,Ouverte sur l'emplacement de l'hôtel Narbonne-Pelet.,
RUE SARASATE,"Sarasate (1844-1908), violoniste et compositeur espagnol.",
RUE CHARLES LEROY,"Charles Théodore Leroy (1844-1895), littérateur.","Située autrefois sur le territoire d'Ivry-sur-Seine, annexé à Paris par décret du 18 avril 1929. L'assiette de la rue Charles Leroy a été déplacée lors de la construction du boulevard Périphérique en 1968. Depuis, elle s'étend, pour sa plus grande part, sur le territoire d'Ivry-sur-Seine."
VOIE AD/15,,Bretelle de liaison aménagée à l'occasion de la création du boulevard Périphérique.
AVENUE DES TERNES,"Traverse l'ancien hameau des Ternes, appelé villa Externa dans des titres du XVe siècle.","Précédemment partie de la route dite de Saint-Germain ou Vieille Route de Neuilly (déc. du 7 janvier 1813). En 1793, on la nommait route de la Montagne du Bon Air."
CITE BERRYER,"Pierre Antoine Berryer (1790-1868), avocat et homme politique.","Précédemment, passage du Marché d'Aguesseau."
CARREFOUR DE LA PATTE D'OIE,,Situé autrefois sur le territoire de Saint-Maurice annexé à Paris par décret du 18 avril 1929.
RUE DE LA MICHODIERE,"Jean-Baptiste de La Michodière, comte d'Hauteville, né en 1720, était prévôt des marchands lorsqu'elle fut percée.",
RUE LOUIS LE GRAND,"Voisinage de la place Vendôme, autrefois place Louis le Grand.",Cette voie a été dénommée rue des Piques (1793-1798) ; rue de la place Vendôme (1799-1814).
VOIE CZ/19,,Bretelle de liaison aménagée à l'occasion de la création du boulevard Périphérique.
RUE LOUIS MURAT,"Louis Marie Napoléon, prince Murat, mort au champ d'honneur en 1916.",
RUE DE LISBONNE,Capitale du Portugal ; voisinage de la place de l'Europe.,
PASSAGE DE L'INDUSTRIE,Bordé de boutiques et d'ateliers.,"La partie comprise entre la rue du Faubourg Saint-Martin et le boulevard de Strasbourg a pris, en 1936, le nom de rue Gustave Goublier."
RUE FOURCADE,"Jacques Alphonse Fourcade (1811-1890), industriel et philanthrope ; voie ouverte sur sa propriété.",
RUE MESNIL,Ancienne dénomination.,
PORT DEBILLY,"Jean Louis Debilly (1763-1806), général de brigade, tué à la bataille d'Iéna. Port longeant l'ancien quai Debilly, aujourd'hui avenue de New York.",
RUE HENRI DE BORNIER,"Henri de Bornier (1825-1901), auteur dramatique, conservateur de la Bibliothèque de l'Arsenal.",Ouverte sur des terrains détachés du parc de la Muette.
RUE DE L'ARCADE,Dû à une arcade qui servait de communication entre les jardins des religieuses de la Ville l'Evêque.,"Cette voie existait au XVIIe siècle sous le nom de chemin d'Argenteuil. Elle a porté le nom de rue de la Pologne, entre les rues des Mathurins et de Rome."
RUE SAINT-AMAND,Nom de propriétaire.,
VOIE CN/16,,Bretelle de liaison aménagée à l'occasion de la création de l'autoroute A13.
RUE ROQUEPINE,"La partie la plus ancienne de la voie a été ouverte par Louis d'Astorg d'Aubarède, marquis de Roquépine, lieutenant-général.","La partie B a été dénommée rue de Penthièvre, du 4 novembre au 9 décembre 1846."
RUE CALMELS PROLONGEE,"M. Calmels, ancien propriétaire des terrains sur lesquels la voie a été ouverte.",
RUE JEAN LANTIER,Corruption de Jean Lointier ; ancien nom (XIIIe siècle).,La partie B existait au XIIIe siècle ; elle a porté les noms de rue Philippe Lointier et de rue Jean Lointier.
IMPASSE ROBERT,"M. Robert, propriétaire.","Le troisième tronçon a été supprimé lors de l'aménagement du ""secteur impasse Robert"" avant le classement de la voie."
BOULEVARD DELESSERT,"Benjamin Delessert (1773-1847), industriel, financier et philanthrope français, propriétaire dans cette région de Passy.","Précédemment rue Benjamin Delessert et partie de la rue Beethoven. Son ouverture avait été prévue suivant un autre tracé par la loi du 23 avril 1869, relative à la création du Trocadéro. Partie de la route départementale n° 2 (rue Beethoven)."
RUE DU DOME,Le dôme des Invalides formait la perspective de cette rue.,
RUE BREVE,Cette voie est très courte.,Voie créée lors de l'aménagement du secteur Forum Central des Halles.
AVENUE SAINT-HONORE D'EYLAU,Voisinage de l'église Saint-Honoré d'Eylau.,"Ouverte dans un lotissement appartenant à la Société Industrielle, Commerciale et Immobilière de l'avenue de Malakoff."
PONT AU CHANGE,"Les changeurs s'y étaient établis en 1141, en vertu d'une ordonnance de Louis VII.","Précédemment, pont aux Changeurs (1141), Grand Pont (1273), pont à Coulons, pont aux Colombes, pont aux Meuniers, pont de la Marchandise, pont aux Marchands et pont aux Oiseaux aux XVIe et XVIIe siècles."
RUE DEBROUSSE,Nom de propriétaire.,
AVENUE VION-WHITCOMB,"M. Vion-Whitcomb, propriétaire.",
RUE DE LA CURE,"Conduit à la source ferrugineuse d'Auteuil. La cure est une allusion aux vertus, jugées curatives, de la source.",La rue de la Cure finissait autrefois rue Raffet. Un tronçon a été supprimé par décret du 8 novembre 1883 et un autre a été dénommé rue Jasmin par arrêté préfectoral du 10 novembre 1885.
RUE ROBERT TURQUAN,"Robert Turquan, prévôt des marchands en 1510.","Créée sous le nom de villa de l'Yvette, puis rue de la Villa Yvette, rue Robert Turquan depuis 1913."
PASSAGE PETIT CERF,"M. Petit Cerf, propriétaire.",
RUE SAINTE-OPPORTUNE,Voisinage de la place Sainte-Opportune.,
RUE DU PONT DE LODI,"Victoire remportée en Italie, le 10 mai 1796, par le général Bonaparte sur les Autrichiens.","L'ouverture de cette rue, sur une longueur de 90 m à partir de la rue des Grands Augustins, a été imposée par l'Etat aux acquéreurs de l'ancien couvent des Grands Augustins."
IMPASSE TOURNEUX,Voisinage de la rue Tourneux.,"Précédemment, impasse Brunetaud."
AVENUE FRANCO-RUSSE,Ouverte par la Société de l'avenue Franco-Russe.,
VILLA SAINTE-MARIE,,
GALERIE DE VALOIS,"Ainsi nommée en l'honneur du duc de Valois, fils aîné du duc d'Orléans (Louis-Philippe)",
RUE LE VERRIER,"Urbain Jean Joseph Le Verrier (1811-1877), astronome français ; voisinage de l'Observatoire.","Amorcée en 1883 sous le nom d'impasse Notre-Dame des Champs et prolongée, en 1888, jusqu'à la rue d'Assas."
RUE DE DAMIETTE,Ville d'Egypte ; rappelle la conquête de ce pays en 1798 ; voisinage de la place du Caire.,
CITE JOLY,"M. Joly, propriétaire.",
RUE ABEL RABAUD,"M. Abel Rabaud, l'un des anciens propriétaires de la voie.",
ROUTE DE L'EPINE,,Située autrefois sur le territoire de Saint-Mandé annexé à Paris par décret du 18 avril 1929.
GALERIE DES PROUES,"Galerie de la cour du Palais Royal où l'on voit les proues de navires dont était décoré le palais du cardinal de Richelieu, chef et surintendant général de la navigation.",
RUE SAINT-SAUVEUR,"Voie latérale à l'ancienne église Saint-Sauveur, située rue Saint-Denis.",Cette voie était déjà dénommée rue Saint-Sauveur en 1285. La partie qui était comprise entre les rues Montorgueil et Montmartre a pris en 1937 le nom de rue Léopold Bellan. Cette même partie avait été réunie à la rue Saint-Sauveur en 1851.
RUE BOCHART DE SARON,"Jean Baptiste Gaspard Bochart de Saron (1730-1794), premier président au Parlement de Paris, mathématicien.",
RUE SAINT-ANDRE DES ARTS,"Conduisait à l'ancienne église Saint-André des Arts primitivement appelée Saint-André de Laas, du nom du territoire environnant, dit clos de Laas.","Elle a été dénommée rue de Laas, rue Saint-Germain ou rue Saint-Germain des Prés (1332), rue Saint-André, rue Saint-Andrieu, rue Saint-André de Laas et enfin rue Saint-André des Arcs. Elle a absorbé l'ancienne rue de la Clef."
RUE SERPENTE,"Ancienne enseigne de ""la Serpent"".","Précédemment rue Serpente, entre le boulevard Saint-Michel et la rue Hautefeuille et rue du Battoir Saint-André, entre les rues Hautefeuille et de l'Eperon.. L'ancienne rue Serpente a été ouverte vers 1179. Elle est indiquée sous le nom de Vicus Serpentis dans un acte de 1180 et sous le nom Vicus Tortuosus dans un acte de 1263. A la fin du XIIIe siècle, c'est la rue de la Serpent ou rue de la Serpente ; elle est dénommée rue Serpente sur plusieurs plans du XVIe siècle. La rue du Battoir Saint-André était appelée en 1292 rue Jehan de Fontenoy ou Jean de Fontenay ; Guillot, en 1300, la nomme rue de la Plâtrière ; un document de 1430, Haulte Rue ou rue du Bastouer ; un autre de 1367, Haulte Rue, dicte du Bastouer, puis rue de la Vieille Plâtrière. En 1521, rue Serpente."
VOIE EC/20,,Bretelle de liaison aménagée à l'occasion de la création du boulevard Périphérique.
RUE BELLIARD,"Le comte Auguste Daniel Belliard (1769-1832), général de cavalerie, défenseur du quartier en 1814.","Cette voie a absorbé une partie du passage du Champ Marie et une partie du passage Jobert comprise entre la cité du Talus et la rue des Tennis. La partie comprise entre les rues des Poissonniers et du Poteau, précédemment partie du chemin latéral au chemin de fer de Ceinture, était située autrefois sur le territoire de l'ancienne commune de Montmartre."
RUE DE LA SANTE,"Conduit à l'hôpital de la Santé ou Sainte-Anne, du nom d'Anne d'Autriche, sa fondatrice.","Elle figure sur le plan de Jouvin de Rochefort (1672), sous le nom de chemin d'Arcueil. Le tronçon entre le boulevard Saint-Jacques et la rue de la Glacière était autrefois l'ancien chemin de Gentilly (chemin vicinal dont la largeur avait été fixée à 6 m par arrêté préfectoral du 16 avril 1817)."
RUE JULES DUMIEN,Nom de propriétaire.,
RUE SAINT-HONORE,Dû à l'ancienne église collégiale de Saint-Honoré située autrefois dans le cloître Saint-Honoré.,"Voie très ancienne. Elle s'est appelée : entre les rues de la Lingerie et de la Tonnellerie, rue de la Chausseterie, de 1300 au XVIIe siècle ; entre les rues Tirechappe (supprimée) et de l'Arbre Sec, rue du Chastiau Festu (1300) ou du Château Fêtu ; entre les rues de l'Arbre Sec et du Rempart (supprimée), rue de la Croix du Trahoir ou rue de la Croix du Tiroir, rue du Traihoir ou du Traihouer, du Trayoir ou du Trahoir, du Triouer ou du Trioir aux XIIIe et XIVe siècles ; rue de la Chaussée Saint-Honoré (1450) ; entre les rues du Rempart (supprimée) et Royale, chemin de Clichy (1204), grand chemin Saint-Honoré (1283), chaussée Saint-Honoré (1370), grand chemin de la porte Saint-Honoré (1392), chemin Royal (1393), nouvelle rue Saint-Louis (1407), grand'rue Saint-Louis (1421), rue Neuve Saint-Louis (1430), grande rue du Faubourg Saint-Honoré (1609), chaussée Saint-Honoré (1634), rue Neuve Saint-Honoré (1638). En 1966, la partie comprise entre le Palais Royal, le Théâtre Français et la place André Malraux a été dénommée place Colette."
PASSAGE DE LA REINE DE HONGRIE,"Dans ce passage demeurait Julie Bêcheur, dite Rose de Mai, marchande à la Halle, dont la ressemblance avec Marie-Thérèse, reine de Hongrie, frappa, dit-on, Marie-Antoinette, lors d'une députation que les dames de la Halle envoyèrent à Versailles.","Ce passage, accessible aux piétons seulement et fermé la nuit à ses deux extrémités, a été créé vers 1770. Devenu propriété nationale, il a été vendu par le Domaine le 12 brumaire an V, à condition qu'il reste ouvert au public et qu'il soit entretenu par l'acquéreur. Il a été appelé, de 1792 à 1806, passage de l'Egalité."
RUE DE LONDRES,Capitale de l'Angleterre ; voisinage de la place de l'Europe.,
PASSAGE DU JEU DE BOULES,Dû à un ancien jeu de boules.,
VOIE L/10,,Voie ouverte sur des terrains appartenant à la Ville de Paris.
VILLA BERTHIER,Voisinage du boulevard Berthier.,"Précédemment, impasse Berthier et, avant 1877, impasse de la Fontaine des Ternes."
RUE BARON LE ROY,"Pierre Le Roy de Boiseaumarié (1890-1967), créateur du système français d'appellation contrôlée.",Voie créée dans le cadre de l'aménagement de la partie est de la Zac `Bercy`. Elle avait été provisoirement dénommée BN/12 et englobait la rue Neuve de la Garonne.
RUE DU COLONEL COLONNA D'ORNANO,"Colonel Colonna d'Ornano (1895-1941), officier français qui se distingua au cours de la première guerre mondiale. Il opéra, en août 1940, le ralliement du Tchad à la France libre et accomplit sous les ordres du général Leclerc un raid qui le mena jusqu'à Mourzouk où il fut mortellement blessé.",Elle avait été provisoirement dénommée AJ/15.
COUR DU CHENE VERT,"Ancienne plantation dont on avait conservé un chêne, abattu vers 1840.","Précédemment, partie du passage du Chêne Vert. Avant l'ouverture de l'avenue Ledru-Rollin en 1887, le passage du Chêne Vert débouchait avenue Daumesnil."
PASSAGE VICTOR MARCHAND,Nom de propriétaire.,Précédemment passage Desange.
RUE DE BUZENVAL,"Combat du 19 janvier 1871, entre les troupes de Paris et l'armée allemande, au village de Buzenval.","La partie A était précédemment une partie de la rue des Vignoles et, plus anciennement, une partie de la rue des Basses Vignoles. La partie B figurée sur le plan cadastral de 1812 a porté le nom de passage Papier. La partie M a été ouverte par la Ville de Paris sur l'emplacement de l'ancienne usine à gaz de Saint-Mandé."
RUE ALEXANDRE PARODI,"Dominique Alexandre Parodi (1840-1901), littérateur d'origine grecque, auteur dramatique.",Précédemment rue du Canal Saint-Martin. Ouverte par MM. Alexandre Delessert et Paravey sur leurs terrains.
RUE EDMOND VALENTIN,"Marie Edmond Valentin (1823-1879), Préfet du Bas Rhin en 1870.",Ouverte par une société immobilière sur l'emplacement de l'hôpital du Gros Caillou.
IMPASSE DU MOULIN VERT,Voisinage de la rue du Moulin Vert.,Précédemment cité Chauvelot.
RUE CHARLES-FRANCOIS DUPUIS,"Charles François Dupuis (Trye-Château (Oise),1742-Is-sur-Tille (Cote d'Or), 1809), philosophe et homme politique français. Auteur de ""L'origine de tous les cultes ou religion universelle"".",Précédemment rue Dupuis.
RUE SAUVAL,"Henri Sauval (1620-1670), avocat au Parlement, historien de Paris.","Partie A : précédemment rue des Vieilles Etuves Saint-Honoré, antérieurement rue des Etuves ou rue des Estuves et, plus anciennement, rue du Pressoir du Bret. Ce tronçon existait en 1300. Partie B : précédemment rue Devarenne ou rue de Varennes ; le côté pair de cette partie, situé dans le secteur des Halles, fut déclassé par l'arrêté du 17 août 1973, puis supprimé, ramenant la largeur de la voie de 29 m à 6 m."
RUE ADOLPHE MILLE,"Adolphe Auguste Mille (1812-1894), inspecteur général des ponts et chaussées, ingénieur de la Ville de Paris, constructeur du Dépotoir municipal, apôtre de l'épuration agricole des eaux d'égout.",Précédemment impasse du Dépotoir et plus anciennement la rue du Dépotoir (partie). Conduisait au dépotoir.
RUE DE PONDICHERY,Partie de l'ex-Union française située aux Indes.,Précédemment ruelle Dupleix.
RUE CESAR FRANCK,César Auguste Franck (1822-1890) compositeur et organiste français d'origine belge.,Ouverte par la Ville de Paris sur l'emplacement des Abattoirs de Grenelle.
RUE MARGUERITTE,"Louis César Auguste Margueritte (1798-1857), l'un des fondateurs de la Compagnie parisienne du Gaz. Son fils, Louis Joseph Frédéric Margueritte (1822-1891), a été président du Conseil d'administration de cette Compagnie.",Ouverte par la Compagnie du Gaz.
RUE GUSTAVE NADAUD,"Gustave Nadaud (1820-1893), musicien et chansonnier français, voisinage de sa maison mortuaire.","Précédemment, partie de l'avenue de la Petite Muette."
RUE DE LA PRESENTATION,Son nom actuel rappelle la présentation de la Vierge au Temple.,Ancienne rue Sainte-Marie du Temple.
QUAI AUX FLEURS,Emplacement d'un marché aux fleurs.,"Anciennement, quai Napoléon (1804), quai de la Cité (1816), quai Napoléon (1834). Avant 1929, le quai aux Fleurs s'étendait jusqu'à la rue de la Cité : à cette époque on a donné le nom de quai de la Corse à la partie du quai aux Fleurs comprise entre la rue d'Arcole et la rue de la Cité."
RUE DE L'YVETTE,Rivière du bassin de la Seine.,"Précédemment, rue du Four et plus anciennement sente ou chemin du Four, tracée sur le plan cadastral de 1823. Le tronçon M a remplacé une partie de la voie qui avait un tracé différent."
RUE DE RICHEMONT,"Arthur III de Bretagne, comte de Richemont (1393-1456), connétable de France sous Charles VII ; voisinage de la place Jeanne d'Arc.","Précédemment, chemin de la Croix Rouge et antérieurement, petite rue de la Croix Rouge. Ancien chemin tracé sur le plan de Roussel (1730). Partie d'un ancien chemin vicinal de la commune d'Ivry ; il n'est pas mentionné au décret de classement du 23 mai 1863. Le tronçon compris entre la rue de Domrémy et la rue Jean Colly, dont les alignements étaient fixés par l'arr. préf. du 30 août 1837, été déclassé par arrêté du 26 juin 1974."
RUE RATAUD,"M. Rataud, maire du Ve arrondissement.","Un tronçon de 131 m, à partir de la rue Lhomond, était précédemment dénommé impasse ou cul-de-sac des Vignes. Cette partie a porté les noms de rue Saint-Etienne (1603), rue Neuve Saint-Etienne, rue du Clos des Poteries, rue des Vignes. Le surplus de la voie a été ouvert par la Société du quartier Rollin."
RUE CAUCHY,"Augustin Louis Cauchy (1789-1857), mathématicien français.","Précédemment, rue Vignon et antérieurement, rue Saint-Paul."
RUE LAMENNAIS,"Félicité Robert de Lamennais (1782-1854), abbé et écrivain français.",Précédemment rue du Centre. Ouverte sur les terrains de l'ancienne chartreuse Beaujon.
AVENUE PERRICHONT,Nom de propriétaire.,"La partie A, créée en 1897, a porté le nom d'avenue Perrichont prolongée. La partie qui était comprise entre la rue La Fontaine et l'avenue Théophile Gautier a été dénommée avenue de l'Abbé Roussel en 1969."
IMPASSE RICHARD,"M. Richard, propriétaire.",
RUE BARRAULT,"M. Barrault, ancien propriétaire des terrains sur lesquels une partie de cette voie a été ouverte.","Précédemment, ruelle Barrault (partie A). Elle a absorbé l'impasse Croulebarbe."
RUE DE LA COLOMBE,Probablement ancienne enseigne.,Elle portait ce nom en 1223.
RUE DES PRUNIERS,Plantation de pruniers.,"Précédemment passage des Pruniers et, plus anciennement, impasse des Pruniers."
PLACE DU GUIGNIER,Ancienne plantation de cerisiers.,"Précédemment, passage du Guignier (arr. du 1er février 1877). Ancien passage transformé en place, lors de l'ouverture de la rue des Pyrénées, par suite de la démolition des immeubles du côté impair."
VILLA DE L'ADOUR,Fleuve du Sud-Ouest de la France.,Précédemment villa Barthélemy.
CITE AUBRY,"M. Aubry, propriétaire des terrains sur lesquels la voie a été ouverte.",
RUE MOREAU,Doit probablement son nom à un propriétaire riverain.,"Elle porte sa dénomination actuelle sur le plan de Jouvin de Rochefort (1672). On l'a aussi appelée rue des Filles Anglaises. Une partie de cette voie, comprise entre l'avenue Daumesnil et la rue de Bercy, a été absorbée par l'avenue Ledru-Rollin."
RUE D'EDIMBOURG,Capitale de l'Ecosse ; voisinage de la place de l'Europe.,
IMPASSE DE WATTIGNIES,"Victoire remportée par l'armée française, commandée par le général Jourdan, sur les Autrichiens, le 16 octobre 1793.",
RUE SAINT-ROCH,Longe l'église Saint-Roch.,"La partie A était bâtie en 1575, c'était précédemment la rue du Dauphin. Elle fut appelée d'abord cul-de-sac puis rue Saint-Vincent, rue du Dauphin (1744), rue de la Convention (1795), rue du Dauphin (1814), rue du Trocadéro (1823 à 1830), de nouveau rue du Dauphin (1830-1879). Le surplus de la voie faisait partie de la rue Gaillon. C'était la ruelle Michaut Riegnaut (1495), la rue Michaut Regnaut (1525) ; en 1578, la rue Gaillon. Il devint, au XVIIe siècle, la rue de Lorges, la rue Neuve Saint-Roch puis la rue Saint-Roch. Pendant la Révolution, elle a été appelée rue de la Montagne."
RUE PETRARQUE,"François Pétrarque (1304-1374), poète italien.",Précédemment impasse des Moulins. La partie de la rue Pétrarque qui faisait retour sur la rue Scheffer nos 10-12 a été supprimée en 1933 par l'ouverture de l'avenue Paul Doumer.
